h3_cell,lat,lng,visit_count,resolution,country
08a64821b32b7fff,18.981988913057837,98.94619519473444,1,10,Thailand
08a64821b331ffff,18.97761339210355,98.94580428675137,1,10,Thailand
08a64821b338ffff,18.9798011663635,98.94599973939829,1,10,Thailand
08a64821b3a67fff,18.96886201952636,98.94502250305534,1,10,Thailand
08a64821b3a77fff,18.969898373507426,98.9457961738078,1,10,Thailand
08a64821b3b4ffff,18.967710476462702,98.94560072875426,1,10,Thailand
08a6482401647fff,19.2840929320402,98.96778103121736,1,10,Thailand
08a648240ec67fff,19.290990870770113,98.96430868531964,1,10,Thailand
08a64824182e7fff,19.340869864286372,98.95991672925955,1,10,Thailand
08a64824199affff,19.32489917780282,98.95371152514124,1,10,Thailand
08a6482419c97fff,19.336618890859846,98.95817172066307,1,10,Thailand
08a648241b69ffff,19.368104837104084,98.95008377033447,1,10,Thailand
08a648241b6d7fff,19.367186475561958,98.94795547409075,1,10,Thailand
08a648241b6dffff,19.367301843312497,98.9466018468169,1,10,Thailand
08a648241b887fff,19.35086705351714,98.95876745947315,1,10,Thailand
08a648241b89ffff,19.352016298088632,98.95818858070191,1,10,Thailand
08a648241b8a7fff,19.34971780052355,98.9593463334101,1,10,Thailand
08a648241d237fff,19.316968601352265,98.95640998353727,1,10,Thailand
08a648241da77fff,19.308118990118473,98.95698040564771,1,10,Thailand
08a648242abb7fff,19.24776639484786,98.96793347194668,1,10,Thailand
08a648242c297fff,19.219940332191733,98.97157474431495,1,10,Thailand
08a648242c36ffff,19.21143229001349,98.96808587693118,1,10,Thailand
08a6482488017fff,19.44677072933674,98.98169809076549,1,10,Thailand
08a648248801ffff,19.446886377160443,98.98034420203643,1,10,Thailand
08a648248805ffff,19.44608457015178,98.97686148458517,2,10,Thailand
08a64824880affff,19.447919427140956,98.98111913930452,1,10,Thailand
08a64824880c7fff,19.448150705408313,98.97841134482995,1,10,Thailand
08a64824880cffff,19.448266329739337,98.9770574416098,1,10,Thailand
08a64824880f7fff,19.448035071208775,98.97976524406202,1,10,Thailand
08a648248818ffff,19.44665507164567,98.98305197550287,1,10,Thailand
08a6482488387fff,19.44734886977667,98.97492860723341,1,10,Thailand
08a6482488397fff,19.448381944201607,98.9757035344031,2,10,Thailand
08a64824883affff,19.446315784503263,98.97415368426121,1,10,Thailand
08a64824883b7fff,19.44723326142488,98.9762825119142,2,10,Thailand
